"No.","Time","Source","Destination","Protocol","Length","Info"
"1166","9.507080126","192.168.126.128","10.136.28.34","TCP","54","58095  >  49154 [FIN] Seq=1 Win=1024 Len=0"
"1167","9.509901567","192.168.126.128","10.136.28.34","TCP","54","58096  >  49400 [FIN] Seq=1 Win=1024 Len=0"
"1168","9.510263796","192.168.126.128","10.136.28.34","TCP","54","58096  >  4126 [FIN] Seq=1 Win=1024 Len=0"
"1169","9.510439436","192.168.126.128","10.136.28.34","TCP","54","58096  >  903 [FIN] Seq=1 Win=1024 Len=0"
"1170","9.510548350","192.168.126.128","10.136.28.34","TCP","54","58096  >  8193 [FIN] Seq=1 Win=1024 Len=0"
"1171","9.510656272","192.168.126.128","10.136.28.34","TCP","54","58096  >  2191 [FIN] Seq=1 Win=1024 Len=0"
"1172","9.510765998","192.168.126.128","10.136.28.34","TCP","54","58096  >  10025 [FIN] Seq=1 Win=1024 Len=0"
"1173","9.513757959","192.168.126.128","10.136.28.34","TCP","54","58096  >  1277 [FIN] Seq=1 Win=1024 Len=0"
"1174","9.514121210","192.168.126.128","10.136.28.34","TCP","54","58096  >  3659 [FIN] Seq=1 Win=1024 Len=0"
"1175","9.514434718","192.168.126.128","10.136.28.34","TCP","54","58096  >  1124 [FIN] Seq=1 Win=1024 Len=0"
"1176","9.514538212","192.168.126.128","10.136.28.34","TCP","54","58096  >  20000 [FIN] Seq=1 Win=1024 Len=0"
"1177","9.514641115","192.168.126.128","10.136.28.34","TCP","54","58096  >  1102 [FIN] Seq=1 Win=1024 Len=0"
"1178","9.514744599","192.168.126.128","10.136.28.34","TCP","54","58096  >  1185 [FIN] Seq=1 Win=1024 Len=0"
"1179","9.514847913","192.168.126.128","10.136.28.34","TCP","54","58096  >  3260 [FIN] Seq=1 Win=1024 Len=0"
"1180","9.514953851","192.168.126.128","10.136.28.34","TCP","54","58096  >  497 [FIN] Seq=1 Win=1024 Len=0"
"1181","9.515057706","192.168.126.128","10.136.28.34","TCP","54","58096  >  5221 [FIN] Seq=1 Win=1024 Len=0"
"1182","9.515273230","192.168.126.128","10.136.28.34","TCP","54","58096  >  9500 [FIN] Seq=1 Win=1024 Len=0"
"1183","9.515380491","192.168.126.128","10.136.28.34","TCP","54","58096  >  6156 [FIN] Seq=1 Win=1024 Len=0"
"1184","9.515484306","192.168.126.128","10.136.28.34","TCP","54","58096  >  25734 [FIN] Seq=1 Win=1024 Len=0"
"1185","9.515598310","192.168.126.128","10.136.28.34","TCP","54","58096  >  10010 [FIN] Seq=1 Win=1024 Len=0"
"1186","9.515714608","192.168.126.128","10.136.28.34","TCP","54","58096  >  1029 [FIN] Seq=1 Win=1024 Len=0"
"1187","9.515818272","192.168.126.128","10.136.28.34","TCP","54","58096  >  1998 [FIN] Seq=1 Win=1024 Len=0"
"1188","9.518674719","192.168.126.128","10.136.28.34","TCP","54","58096  >  8200 [FIN] Seq=1 Win=1024 Len=0"
"1189","9.519051586","192.168.126.128","10.136.28.34","TCP","54","58096  >  7496 [FIN] Seq=1 Win=1024 Len=0"
"1190","9.519714820","192.168.126.128","10.136.28.34","TCP","54","58096  >  44443 [FIN] Seq=1 Win=1024 Len=0"
"1191","9.519842900","192.168.126.128","10.136.28.34","TCP","54","58096  >  62078 [FIN] Seq=1 Win=1024 Len=0"
"1192","9.519948158","192.168.126.128","10.136.28.34","TCP","54","58096  >  7001 [FIN] Seq=1 Win=1024 Len=0"
"1193","9.520056180","192.168.126.128","10.136.28.34","TCP","54","58096  >  3031 [FIN] Seq=1 Win=1024 Len=0"
"1194","9.520189670","192.168.126.128","10.136.28.34","TCP","54","58096  >  9103 [FIN] Seq=1 Win=1024 Len=0"
"1195","9.520316679","192.168.126.128","10.136.28.34","TCP","54","58096  >  4045 [FIN] Seq=1 Win=1024 Len=0"
"1196","9.520426615","192.168.126.128","10.136.28.34","TCP","54","58096  >  1108 [FIN] Seq=1 Win=1024 Len=0"
"1197","9.520536731","192.168.126.128","10.136.28.34","TCP","54","58096  >  9090 [FIN] Seq=1 Win=1024 Len=0"
"1198","9.520647409","192.168.126.128","10.136.28.34","TCP","54","58096  >  3971 [FIN] Seq=1 Win=1024 Len=0"
"1199","9.520755722","192.168.126.128","10.136.28.34","TCP","54","58096  >  1322 [FIN] Seq=1 Win=1024 Len=0"
"1200","9.520862652","192.168.126.128","10.136.28.34","TCP","54","58096  >  57294 [FIN] Seq=1 Win=1024 Len=0"
"1201","9.520966327","192.168.126.128","10.136.28.34","TCP","54","58096  >  10621 [FIN] Seq=1 Win=1024 Len=0"
"1202","9.521083036","192.168.126.128","10.136.28.34","TCP","54","58096  >  901 [FIN] Seq=1 Win=1024 Len=0"
"1203","9.521204333","192.168.126.128","10.136.28.34","TCP","54","58096  >  5050 [FIN] Seq=1 Win=1024 Len=0"
"1204","9.521348333","192.168.126.128","10.136.28.34","TCP","54","58096  >  50000 [FIN] Seq=1 Win=1024 Len=0"
"1205","9.523683833","192.168.126.128","10.136.28.34","TCP","54","58096  >  4003 [FIN] Seq=1 Win=1024 Len=0"
"1206","9.523939522","192.168.126.128","10.136.28.34","TCP","54","58096  >  1864 [FIN] Seq=1 Win=1024 Len=0"
"1207","9.524183780","192.168.126.128","10.136.28.34","TCP","54","58096  >  37 [FIN] Seq=1 Win=1024 Len=0"
"1208","9.524360692","192.168.126.128","10.136.28.34","TCP","54","58096  >  49165 [FIN] Seq=1 Win=1024 Len=0"
"1209","9.524471680","192.168.126.128","10.136.28.34","TCP","54","58096  >  19 [FIN] Seq=1 Win=1024 Len=0"
"1210","9.524582498","192.168.126.128","10.136.28.34","TCP","54","58096  >  16018 [FIN] Seq=1 Win=1024 Len=0"
"1211","9.524693025","192.168.126.128","10.136.28.34","TCP","54","58096  >  1174 [FIN] Seq=1 Win=1024 Len=0"
"1212","9.524803913","192.168.126.128","10.136.28.34","TCP","54","58096  >  1417 [FIN] Seq=1 Win=1024 Len=0"
"1213","9.524932905","192.168.126.128","10.136.28.34","TCP","54","58096  >  57797 [FIN] Seq=1 Win=1024 Len=0"
"1214","9.525048191","192.168.126.128","10.136.28.34","TCP","54","58096  >  2043 [FIN] Seq=1 Win=1024 Len=0"
"1215","9.525154150","192.168.126.128","10.136.28.34","TCP","54","58096  >  8021 [FIN] Seq=1 Win=1024 Len=0"
"1216","9.525266070","192.168.126.128","10.136.28.34","TCP","54","58096  >  1040 [FIN] Seq=1 Win=1024 Len=0"
"1217","9.527881094","192.168.126.128","10.136.28.34","TCP","54","58096  >  2004 [FIN] Seq=1 Win=1024 Len=0"
"1218","9.528271135","192.168.126.128","10.136.28.34","TCP","54","58096  >  1533 [FIN] Seq=1 Win=1024 Len=0"
"1219","9.528485888","192.168.126.128","10.136.28.34","TCP","54","58096  >  19283 [FIN] Seq=1 Win=1024 Len=0"
"1220","9.590818459","192.168.126.128","10.136.28.34","TCP","54","58096  >  2048 [FIN] Seq=1 Win=1024 Len=0"
"1221","9.591073888","192.168.126.128","10.136.28.34","TCP","54","58096  >  700 [FIN] Seq=1 Win=1024 Len=0"
"1222","9.591472095","192.168.126.128","10.136.28.34","TCP","54","58096  >  9071 [FIN] Seq=1 Win=1024 Len=0"
